id,gamescount,last_game_win,round_type_1,round_type_2,round_type_3,total_cards_done,total_length,total_lost,total_magic_used,total_win,turnir_counts,turnir_wins,type_1,type_2,visits,skill,magic_for_card,card_for_game,magic_for_game,games_for_visit,more_win_then_mean,more_length_then_mean,more_magic_then_mean
218603,40,0,0.0,0.0,0.0,1014,8112,5,35,35,0,0,1.0,0.0,1,0.875,0.034482758620689655,25.35,0.875,40.0,True,True,True
218601,2,0,0.0,0.0,0.0,52,441,1,1,1,0,0,1.0,0.0,1,0.5,0.018867924528301886,26.0,0.5,2.0,False,False,False
218602,10,0,0.0,0.0,0.0,155,2207,2,8,8,0,0,1.0,0.0,1,0.8,0.05128205128205128,15.5,0.8,10.0,True,True,True
218600,93,0,0.39285714285714285,0.32142857142857145,0.2857142857142857,2391,22106,18,75,75,28,7,0.6989247311827957,0.3010752688172043,3,0.8064516129032258,0.031354515050167224,25.70967741935484,0.8064516129032258,31.0,True,True,True
218608,18,1,0.0,0.0,0.0,535,3970,5,13,13,0,0,1.0,0.0,3,0.7222222222222222,0.024253731343283583,29.72222222222222,0.7222222222222222,6.0,True,True,True
218612,3,0,0.0,0.0,0.0,115,301,0,3,3,0,0,1.0,0.0,1,1.0,0.02586206896551724,38.333333333333336,1.0,3.0,False,False,False
218610,12,0,0.0,0.0,0.0,343,2973,0,12,12,0,0,1.0,0.0,1,1.0,0.03488372093023256,28.583333333333332,1.0,12.0,True,True,True
218615,2,0,0.0,0.0,0.0,52,1105,1,1,1,0,0,1.0,0.0,1,0.5,0.018867924528301886,26.0,0.5,2.0,False,False,False
218614,53,0,0.0,0.0,0.0,1138,12764,7,46,46,0,0,1.0,0.0,1,0.8679245283018868,0.04038630377524144,21.471698113207548,0.8679245283018868,53.0,True,True,True
218623,29,0,0.0,0.0,0.0,838,9405,4,25,25,0,0,1.0,0.0,2,0.8620689655172413,0.029797377830750895,28.896551724137932,0.8620689655172413,14.5,True,True,True
